ativo; ultimoPreco;quantidade;oscilacao;tendencia;hora;qtdOfertaCompra;vlOfertaCompra;qtdOfertaVenda;vlOfertaVenda;qtdNegociada;volumeNegocios;negocios;statusPapel;precoTeoricoAbertura;qtdTeoricaAberrtura;dtCotacao;fechamentoAnterior;precoAbertura;precoMinimo;precoMedio;precoMaximo;dtFechamento;vlFechamento
USIM5;9,57;200;-0,62;=;14:19:11;5300;9,57;15700;9,58;3765000;35884846;4378;S;;;08/03/2019;9,63;9,58;9,47;9,53;9,60;07/03/2019;
USIM6;;;;;;20000;8,00;;;;;;S;;;;11,00;;;;;26/02/2019;
USIM3;10,93;300;-0,91;-;13:29:14;300;10,91;400;10,97;2000;21882;12;S;;;08/03/2019;11,03;10,97;10,90;10,94;10,98;07/03/2019;
MNDL3;29,92;100;3,17;+;13:51:24;100;29,02;100;29,70;1600;46891;12;S;;;08/03/2019;29,00;29,00;29,00;29,31;29,99;07/03/2019;
CTKA3;;;;;;100;2,50;100;7,00;;;;S;;;;5,00;;;;;11/01/2019;
CTKA4;3,80;2000;0,53;+;14:11:49;500;3,68;1100;3,80;3600;13587;6;S;;;08/03/2019;3,78;3,89;3,68;3,77;3,89;07/03/2019;
TXRX4;;;;;;500;2,59;500;2,65;;;;S;;;;2,67;;;;;07/03/2019;
TEKA3;;;;;;1000;3,00;200;9,93;;;;S;;;;9,88;;;;;27/02/2019;
TEKA4;;;;;;100;8,22;300;8,69;;;;S;;;;8,69;;;;;07/03/2019;
CEDO4;;;;;;1000;6,00;200;6,05;;;;S;;;;6,05;;;;;07/03/2019;
CEDO3;;;;;;100;6,00;200;9,00;;;;S;;;;6,08;;;;;01/03/2019;
CAMB4;33,90;100;0,89;;10:11:59;100;21,50;900;33,70;100;3390;1;S;;;08/03/2019;33,60;33,90;33,90;33,90;33,90;07/03/2019;
ECPR3;;;;;;300;23,64;100;80,00;;;;S;;;;79,99;;;;;23/01/2019;
CTNM4;10,00;100;0,00;;13:23:02;1600;10,00;100;10,15;100;1000;1;S;;;08/03/2019;10,00;10,00;10,00;10,00;10,00;07/03/2019;
CTNM3;;;;;;100;10,02;100;11,19;;;;S;;;;10,44;;;;;06/03/2019;
CTSA3;;;;;;600;5,02;100;5,09;;;;S;;;;5,08;;;;;07/03/2019;
DOHL4;;;;;;500;6,51;500;6,90;;;;S;;;;6,70;;;;;06/03/2019;
DOHL3;;;;;;;;;;;;;S;;;;8,00;;;;;14/02/2019;
CTSA4;6,15;1000;-1,91;;10:03:47;100;5,87;100;6,26;1000;6150;1;S;;;08/03/2019;6,27;6,15;6,15;6,15;6,15;07/03/2019;
PTNT4;;;;;;200;3,00;200;3,08;;;;S;;;;3,08;;;;;06/03/2019;
VULC3;8,04;100;-1,35;=;14:19:24;700;8,03;700;8,04;322900;2585144;887;S;;;08/03/2019;8,15;8,07;7,93;8,01;8,12;07/03/2019;
GRND3;8,41;100;-0,71;-;14:19:33;3200;8,41;1600;8,42;263900;2210170;1388;S;;;08/03/2019;8,47;8,46;8,28;8,38;8,46;07/03/2019;
HGTX3;31,54;100;2,87;+;14:19:33;200;31,51;800;31,55;620600;19380385;2791;S;;;08/03/2019;30,66;30,66;30,18;31,23;31,65;07/03/2019;
PTNT3;;;;;;100;6,50;100;10,00;;;;S;;;;6,99;;;;;23/01/2019;
ALPA3;19,30;100;-1,53;-;12:46:13;300;19,34;100;20,64;1300;25393;4;S;;;08/03/2019;19,60;19,03;19,03;19,53;19,60;07/03/2019;
ALPA4;19,75;100;1,70;-;14:18:37;500;19,75;800;19,76;99900;1964306;740;S;;;08/03/2019;19,42;19,22;19,21;19,66;19,87;07/03/2019;
SGPS3;8,40;200;-1,06;+;14:18:06;300;8,32;200;8,43;14100;117833;73;S;;;08/03/2019;8,49;8,24;8,22;8,36;8,46;07/03/2019;
TECN3;2,28;15400;-0,87;+;14:12:08;1100;2,27;7700;2,29;29900;68066;32;S;;;08/03/2019;2,30;2,30;2,26;2,28;2,30;07/03/2019;
OIBR4;1,74;100;-0,57;=;14:19:19;44800;1,73;169600;1,74;2184300;3731438;1092;S;;;08/03/2019;1,75;1,74;1,67;1,71;1,74;07/03/2019;
OIBR3;1,76;1400;0,57;=;14:19:30;228300;1,75;1249900;1,76;19977000;34335011;4874;S;;;08/03/2019;1,75;1,75;1,65;1,72;1,77;07/03/2019;
VIVT3;42,80;200;0,52;-;13:57:19;500;42,71;200;42,88;2500;106937;24;S;;;08/03/2019;42,58;42,38;42,38;42,78;42,93;07/03/2019;
VIVT4;46,71;100;1,99;+;14:19:22;1100;46,70;2800;46,71;938600;43584233;5255;S;;;08/03/2019;45,80;45,80;45,53;46,44;46,94;07/03/2019;
JPSA3;25,10;100;-0,40;+;14:15:24;100;25,02;1000;25,05;42800;1068791;146;S;;;08/03/2019;25,20;25,15;24,81;24,97;25,15;07/03/2019;
ATOM3;2,37;2500;0,85;=;13:30:43;8000;2,37;4100;2,38;7800;18412;9;S;;;08/03/2019;2,35;2,35;2,35;2,36;2,37;07/03/2019;
TIMP3;11,64;100;2,02;=;14:19:25;10300;11,63;8600;11,64;1130400;13079292;3046;S;;;08/03/2019;11,41;11,40;11,35;11,57;11,65;07/03/2019;
LOGN3;8,29;500;-0,96;+;14:17:29;1400;8,27;1100;8,29;266900;2180522;532;S;;;08/03/2019;8,37;8,31;8,00;8,17;8,34;07/03/2019;
GOLL4;26,79;100;0,60;-;14:19:21;400;26,79;1100;26,82;1595300;42153620;4312;S;;;08/03/2019;26,63;26,50;25,70;26,42;27,08;07/03/2019;
TPIS3;1,87;100;2,19;=;14:17:51;5900;1,86;11100;1,87;94900;174317;152;S;;;08/03/2019;1,83;1,84;1,80;1,84;1,87;07/03/2019;
LUXM4;;;;;;200;16,10;200;20,89;;;;S;;;;19,90;;;;;06/03/2019;
TGMA3;27,36;100;0,96;+;14:19:30;100;27,35;100;27,36;57700;1555955;468;S;;;08/03/2019;27,10;27,11;26,60;26,97;27,39;07/03/2019;
ECOR3;10,25;100;2,71;=;14:19:25;6100;10,25;500;10,26;2367500;23928002;6707;S;;;08/03/2019;9,98;9,90;9,84;10,11;10,32;07/03/2019;
CCRO3;12,90;100;1,57;+;14:19:32;22900;12,89;4200;12,90;6303200;80469939;19928;S;;;08/03/2019;12,70;12,50;12,46;12,77;12,98;07/03/2019;
WSON33;40,64;500;-1,50;-;13:42:24;100;40,68;100;40,89;47000;1922914;71;S;;;08/03/2019;41,26;41,15;40,50;40,91;41,90;07/03/2019;
AZUL4;36,31;100;-0,25;-;14:19:33;100;36,30;100;36,31;1402200;50553009;3318;S;;;08/03/2019;36,40;36,30;35,75;36,05;36,53;07/03/2019;
JSLG3;9,54;100;2,03;=;14:18:30;600;9,53;600;9,56;104700;993196;307;S;;;08/03/2019;9,35;9,27;9,25;9,49;9,62;07/03/2019;
RLOG3;15,00;100;-0,20;+;14:18:09;600;14,98;200;15,00;44700;664743;304;S;;;08/03/2019;15,03;15,02;14,75;14,87;15,05;07/03/2019;
RAIL3;19,46;400;0,15;=;14:19:35;1200;19,46;3200;19,47;3095700;59813401;11913;S;;;08/03/2019;19,43;19,25;19,08;19,32;19,54;07/03/2019;
STBP3;3,54;100;-0,56;=;14:19:33;19500;3,54;1600;3,55;1101000;3886656;1031;S;;;08/03/2019;3,56;3,57;3,51;3,53;3,58;07/03/2019;
UCAS3;2,74;100;-1,08;-;14:04:33;900;2,74;700;2,75;37100;101262;43;S;;;08/03/2019;2,77;2,75;2,71;2,73;2,75;07/03/2019;
SPRI3;;;;;;100;6,51;100;8,50;;;;S;;;;8,20;;;;;07/03/2019;
SPRI5;;;;;;300;3,00;200;6,00;;;;S;;;;4,21;;;;;11/02/2019;
HETA4;;;;;;100;5,60;300;6,69;;;;S;;;;6,69;;;;;07/03/2019;
IGBR3;2,40;900;0,84;=;14:17:17;100;2,34;1400;2,40;52900;129681;70;S;;;08/03/2019;2,38;2,36;2,33;2,45;2,54;07/03/2019;
NAFG4;;;;;;100;47,00;200;72,00;;;;S;;;;55,00;;;;;06/03/2019;
NAFG3;;;;;;100;30,01;;;;;;S;;;;49,45;;;;;;
WHRL3;;;;;;500;4,11;100;4,64;;;;S;;;;4,22;;;;;07/03/2019;
WHRL4;4,33;500;1,64;;13:47:46;100;4,24;600;4,33;500;2165;1;S;;;08/03/2019;4,26;4,33;4,33;4,33;4,33;07/03/2019;
TOYB3;;;;;;200;1,95;100;2,04;;;;S;;;;1,95;;;;;07/03/2019;
TOYB4;1,93;100;2,12;=;14:16:58;1100;1,71;200;1,93;42400;81249;83;S;;;08/03/2019;1,89;1,85;1,85;1,92;1,97;07/03/2019;
ESTR4;;;;;;600;12,50;200;13,00;;;;S;;;;12,50;;;;;06/03/2019;
CVCB3;56,37;100;-0,41;=;14:19:12;300;56,36;200;56,37;494900;27949813;2518;S;;;08/03/2019;56,60;56,54;56,08;56,48;56,86;07/03/2019;
SHOW3;7,00;100;0,00;+;14:19:24;1100;6,99;700;7,00;38500;268338;184;S;;;08/03/2019;7,00;7,06;6,90;6,97;7,06;07/03/2019;
BMKS3;286,03;13;0,05;;10:05:00;1;286,05;13;304,99;15;4290,45;2;S;;;08/03/2019;285,90;286,03;286,03;286,03;286,03;06/03/2019;
