ativo; ultimoPreco;quantidade;oscilacao;tendencia;hora;qtdOfertaCompra;vlOfertaCompra;qtdOfertaVenda;vlOfertaVenda;qtdNegociada;volumeNegocios;negocios;statusPapel;precoTeoricoAbertura;qtdTeoricaAberrtura;dtCotacao;fechamentoAnterior;precoAbertura;precoMinimo;precoMedio;precoMaximo;dtFechamento;vlFechamento
BRAP4;29,50;100;-1,21;=;14:18:55;700;29,49;2100;29,50;638800;18836863;2824;S;;;08/03/2019;29,86;29,50;29,15;29,49;29,82;07/03/2019;
UGPA3;52,76;100;1,66;=;14:19:05;1100;52,74;200;52,76;531700;27692225;3468;S;;;08/03/2019;51,90;51,50;50,91;52,08;52,98;07/03/2019;
MOAR3;;;;;;200;165,00;100;185,00;;;;S;;;;180,00;;;;;07/03/2019;
MEAL3;6,15;100;1,65;=;14:18:21;300;6,15;4300;6,16;95000;578617;441;S;;;08/03/2019;6,05;6,03;5,99;6,09;6,17;07/03/2019;
HOOT4;1,90;200;0,00;=;10:39:54;200;1,81;200;1,89;600;1120;3;S;;;08/03/2019;1,90;1,80;1,80;1,87;1,90;07/03/2019;
BKBR3;23,45;100;-0,49;=;14:18:57;1400;23,45;2600;23,47;427100;9912372;2842;S;;;08/03/2019;23,56;23,55;22,84;23,21;23,55;;
MSPA3;;;;;;600;50,00;100;55,00;;;;S;;;;48,14;;;;;01/03/2019;
MSPA4;;;;;;100;40,01;;;;;;S;;;;48,01;;;;;23/01/2019;
;;;;;;;;;;;;;;;;;;;;;;;
EUCA4;4,16;100;0,24;;13:52:28;3000;4,15;200;4,19;100;416;1;S;;;08/03/2019;4,15;4,16;4,16;4,16;4,16;07/03/2019;
DTEX3;11,29;100;0,80;=;14:17:07;2400;11,29;1000;11,30;129600;1457875;577;S;;;08/03/2019;11,20;11,11;11,11;11,25;11,32;07/03/2019;
EUCA3;;;;;;;;5400;9,50;;;;S;;;;8,20;;;;;19/02/2019;
KLBN4;3,11;100;1,30;=;14:07:08;2900;3,10;3500;3,11;20300;62730;95;S;;;08/03/2019;3,07;3,09;3,06;3,09;3,12;07/03/2019;
KLBN11;17,76;100;0,51;=;14:19:00;2000;17,75;1700;17,76;4414400;77783241;5443;S;;;08/03/2019;17,67;17,67;17,44;17,62;17,83;07/03/2019;
RANI3;2,77;100;-2,12;=;13:51:36;6400;2,76;900;2,78;23600;65285;14;S;;;08/03/2019;2,83;2,76;2,76;2,77;2,84;07/03/2019;
RANI4;;;;;;200;2,84;200;2,91;;;;S;;;;2,85;;;;;07/03/2019;
SUZB3;47,38;100;-2,57;=;14:19:06;1100;47,38;1700;47,42;3238500;153767585;8892;S;;;08/03/2019;48,63;48,40;47,02;47,48;48,45;07/03/2019;
KLBN3;5,35;200;1,90;=;14:16:53;600;5,30;100;5,35;2800;14775;19;S;;;08/03/2019;5,25;5,30;5,22;5,28;5,35;07/03/2019;
KEPL3;17,33;100;0,23;+;14:17:01;600;17,26;200;17,34;5200;89717;22;S;;;08/03/2019;17,29;17,27;17,21;17,25;17,33;07/03/2019;
NORD3;;;;;;100;1,36;600;3,99;;;;S;;;;1,60;;;;;15/02/2019;
FJTA3;4,35;500;7,67;-;14:16:17;300;4,50;500;4,30;140500;579883;268;K;4,35;500;08/03/2019;4,04;4,01;3,91;4,13;4,40;07/03/2019;
FJTA4;4,38;200;9,50;=;14:12:28;100;4,50;100;3,72;1227500;5036418;1260;K;4,35;51200;08/03/2019;4,00;3,99;3,91;4,10;4,38;07/03/2019;
INEP4;13,05;300;-1,95;+;13:58:14;200;12,95;400;13,05;5900;77195;26;S;;;08/03/2019;13,31;13,30;13,00;13,08;13,31;07/03/2019;
